"state","prison_pop","prison_exp","per_inmate","Rated","Operational","Design","Custody.population","Lowest.capacity.a","Highest.capacity.a","pop_est_2014","avg_cap","pop_prison_perc","per_taxpayer"
"Alabama",31563,466488094,14780,0,25763,13318,24814,186.3,96.3,3685526.52,141.3,0.673282361837407,126.572985289494
"Alaska",6010,316323123,52633,0,5352,0,5247,98,98,559916.32,98,0.937104315873486,564.947138886754
"Arizona",42131,1069998638,25397,37238,43747,37238,35733,96,81.7,5115927.84,88.85,0.698465676560442,209.15045549196
"Arkansas",17785,371968841,20915,16194,16233,15382,15784,102.6,97.2,2254440.44,99.9,0.700129385542782,164.993864730354
"California",132992,8596902049,64642,0,127482,87287,116569,133.5,91.4,29489900,112.45,0.395284487231222,291.520217057365
"Colorado",18054,709581867,39303,0,14584,14584,15972,109.5,109.5,4070458.16,109.5,0.39238826127622,174.324815317596
"Connecticut",16347,1016118399,62159,0,0,0,15500,0,0,2733474.52,0,0.567043880840711,371.731432492007
"Delaware",6814,266293532,39080,5500,5210,4161,6437,154.7,117,711066.64,135.85,0.905259737680845,374.498699587425
"Florida",100567,1917735951,19069,0,105351,0,99485,94.4,94.4,15118905.72,94.4,0.658017199408794,126.843568345236
"Georgia",46145,921844210,19977,59332,53961,0,52002,96.4,87.6,7673980.68,92,0.677640486319285,120.125948766397
"Hawaii",6063,178406163,29425,0,3527,2491,4073,163.5,115.5,1078866.36,139.5,0.377525905988949,165.364469237877
"Idaho",8120,180115744,22182,6903,0,0,7238,104.9,104.9,1242192.64,104.9,0.582679349959761,144.998237954461
"Illinois",47622,1595647075,33507,31864,31864,27981,46240,165.3,145.1,9789240.8,155.2,0.472355322999103,163.000084235337
"Indiana",28656,517678909,18065,0,30020,0,26586,88.6,88.6,5013609.8,88.6,0.530276608283317,103.254726564481
"Iowa",8195,310634762,37908,7322,7322,7322,8230,112.4,112.4,2361415.76,112.4,0.348519737159711,131.545984939137
"Kansas",9697,237682123,24511,9180,9514,9164,9533,104,100.2,2207055.96,102.1,0.431932863179418,107.691933194118
"Kentucky",21062,351336792,16681,14349,14349,14349,11959,83.3,83.3,3354227.32,83.3,0.356535167688039,104.74447867773
"Louisiana",38296,622350856,16251,18121,15524,16764,18447,118.8,101.8,3533753.76,110.3,0.522022790857957,176.116078897359
"Maryland",24028,1071682231,44601,0,23025,0,20921,90.9,90.9,4542069.32,90.9,0.460605035415884,235.945811368638
"Massachusetts",10772,594295857,55170,0,0,7728,9493,122.8,122.8,5126510.08,122.8,0.185174706610545,115.926009649044
"Michigan",43375,1553213339,35809,44734,43996,0,42628,96.9,95.3,7531506.52,96.1,0.565995659524437,206.228771743797
"Minnesota",9760,403729705,41366,0,9454,0,9578,101.3,101.3,4147451.48,101.3,0.230936999412468,97.3440453605982
"Missouri",32284,716287058,22187,0,32241,0,32295,100.2,100.2,4608327.64,100.2,0.700796525830355,155.433188339881
"Montana",2833,95125223,33578,1692,0,0,1686,99.6,99.6,777920.04,99.6,0.216731786469982,122.281491809878
"Nevada",13665,243935441,17851,0,0,0,13235,0,0,2157715.24,0,0.613380290162848,113.052657031796
"New Jersey",21992,1354767292,61603,17427,18605,23152,17431,100,75.3,6793013,87.65,0.256601893739935,199.435403995252
"New Mexico",7167,263976999,36832,7093,7882,7882,4078,57.5,51.7,1585034.72,54.6,0.257281430402988,166.543354331065
"New York",53181,3688356319,69355,51480,51676,50957,51485,101,99.6,15007132.52,100.3,0.343070202994383,245.773555613274
"North Carolina",37066,1118669204,30180,0,43815,37503,36888,98.4,84.2,7557412.64,91.3,0.488103558151087,148.022776747572
"North Dakota",1696,65467993,38601,0,1353,1353,1345,99.4,99.4,562006.32,99.4,0.239321152118005,116.48978075549
"Ohio",50452,1337453060,26509,34986,0,0,46190,132,132,8811563.88,132,0.524197527578952,151.783846569583
"Oklahoma",27369,451501686,16497,16529,19497,16529,19875,120.2,101.9,2947318.76,111.05,0.674341719319155,153.190653188799
"Oregon",14538,639974399,44021,0,0,14997,14655,97.7,97.7,3017381.64,97.7,0.485685993635197,212.095941234666
"Pennsylvania",50366,2151980000,42727,48025,48025,48025,48241,100.4,100.4,9718278.84,100.4,0.496394482955585,221.43632997466
"Rhode Island",3182,186349078,58564,3989,3774,3973,2982,79,74.8,801931.48,76.9,0.371852218596033,232.375312165074
"South Carolina",21773,436615085,20053,0,23156,0,20457,88.3,88.3,3672686.32,88.3,0.557003735619872,118.881670515221
"South Dakota",3524,73122593,20748,0,3594,0,3514,97.8,97.8,648413,97.8,0.541938548425155,112.771633202912
"Tennessee",30837,723680760,23468,15836,15416,0,14628,94.9,92.4,4977507.52,93.65,0.293882027123487,145.390189184486
"Texas",149159,3283213997,22012,160017,153789,160017,138199,89.9,86.4,20487288.08,88.15,0.67455975364017,160.256154166403
"Utah",6907,152778962,22119,0,7191,7431,4831,67.2,65,2236605.52,66.1,0.215996963112208,68.3084078232982
"Vermont",2026,116727820,57615,1681,1681,1322,1509,114.1,89.8,476187.12,101.95,0.316892233456461,245.130149677295
"Virginia",38688,824010613,21299,0,29633,0,30430,102.7,102.7,6327979.64,102.7,0.480880181845844,130.217013940961
"Washington",16716,632557822,37841,0,16828,0,17222,102.3,102.3,5366762.8,102.3,0.320901083983067,117.865805807553
"West Virginia",6882,188966523,27458,5159,5987,5159,5925,114.8,99,1406247.76,106.9,0.421334004471588,134.376408180021
"Wisconsin",22461,867991403,38644,0,22896,17181,22914,133.4,100.1,4375748.64,116.75,0.523658964103569,198.364091361518
