state,state_pop,prison_pop_total,prison_pop_white,prison_pop_black,prison_pop_american_indian_alaska_native,prison_pop_did_not_report,prison_pop_asian,prison_pop_hispanic,prison_pop_native_hawaiian_other_pacific_islander,prison_pop_other,prison_pop_two_or_more_races,prison_pop_unknown
Alabama,4903185,28304,13454,14631,2,0,4,0,0,0,0,213
Alaska,731545,4475,1863,454,1777,0,44,123,182,0,0,32
Arizona,7278717,42441,16523,6233,2366,0,194,NA,NA,739,1,0
Arkansas,3017804,17759,9767,7282,48,0,61,568,10,17,0,6
California,39512223,122687,25510,35056,1389,0,NA,NA,367,NA,NA,NA
Colorado,5758736,19785,9026,3507,749,0,249,NA,0,NA,NA,3
Connecticut,3565287,12823,3803,5457,39,0,73,NA,0,0,0,2
Delaware,973764,5692,1932,3436,0,0,7,313,0,NA,0,4
Florida,21477737,96009,38335,45121,90,0,19,NA,8,306,NA,6
Georgia,10617423,54816,19795,32656,28,0,190,NA,1,0,NA,7
Hawaii,1415872,5279,1198,323,22,0,892,120,NA,0,182,224
Idaho,1787065,9437,7076,287,361,0,45,NA,0,NA,NA,223
Illinois,12671821,38259,12223,20851,57,0,140,NA,NA,NA,71,45
Indiana,6732219,27180,16878,8852,66,0,66,NA,14,0,141,45
Iowa,3155070,9282,6047,2355,172,0,69,616,0,0,0,23
Kansas,2913314,10177,5854,2755,218,0,90,NA,0,0,0,7
Kentucky,4467673,23082,17542,4877,18,0,NA,309,NA,42,NA,294
Louisiana,4648794,31609,10436,21061,19,0,27,66,0,NA,0,0
Maine,1344212,2185,1779,231,59,0,13,0,3,NA,28,72
Maryland,6045680,18595,4310,13197,93,10,50,748,14,150,NA,23
Massachusetts,6892503,8205,3462,2306,44,0,120,NA,1,100,0,0
Michigan,9986857,38053,17224,20040,427,0,110,NA,25,0,0,227
Minnesota,5639632,9982,4675,3586,887,0,263,560,NA,NA,NA,11
Mississippi,2976149,19417,7133,12025,31,0,47,177,0,0,0,4
Missouri,6137428,26044,16286,9027,87,0,59,549,0,NA,NA,36
Montana,1068778,4723,3359,131,1094,0,NA,117,NA,22,NA,0
Nebraska,1934408,5682,2943,1559,265,0,47,824,4,37,NA,3
Nevada,3080156,12840,5537,3990,218,0,374,NA,NA,0,NA,2
New Hampshire,1359711,2691,3268,140,13,0,20,120,0,37,NA,61
New Jersey,8882190,18613,3978,11372,13,0,139,NA,0,0,NA,200
New Mexico,2096829,6723,1687,463,446,0,19,NA,19,NA,NA,79
New York,19453561,43500,10421,21109,391,0,258,NA,NA,543,NA,194
North Carolina,10488084,34079,13553,17545,844,0,109,NA,19,NA,NA,135
North Dakota,762062,1794,1098,186,389,0,6,114,1,NA,0,0
Ohio,11689100,50338,25070,21752,82,1641,67,NA,NA,346,NA,NA
Oklahoma,3956971,25679,13184,6689,2978,646,89,NA,31,47,NA,12
Oregon,4217737,14961,10757,1436,479,0,224,NA,45,0,NA,0
Pennsylvania,12801989,45702,20086,20846,38,0,125,NA,NA,0,0,229
Rhode Island,1059361,2740,1142,782,25,0,37,713,NA,41,NA,0
South Carolina,5148714,18608,6950,10993,29,0,19,492,1,123,NA,1
South Dakota,884659,3801,1998,289,1336,0,22,143,2,11,NA,NA
Tennessee,6829174,26349,14633,11012,46,0,68,590,NA,0,NA,0
Texas,28995881,158429,53597,51584,82,0,604,NA,0,218,0,0
Utah,3205958,6665,4048,471,366,0,71,NA,146,0,0,268
Vermont,623989,1608,1386,141,16,0,5,0,1,NA,NA,59
Virginia,8535519,36091,15005,19808,26,0,159,NA,NA,0,0,22
Washington,7614893,19261,11262,3275,1048,0,769,NA,NA,69,NA,140
West Virginia,1792147,6800,5819,875,5,0,7,45,1,0,48,0
Wisconsin,5822434,23956,10815,10003,972,0,282,NA,NA,NA,NA,13
Wyoming,578759,2479,1864,129,157,0,13,302,6,4,0,4
