Bureau of Justice Statistics,,,,,,,,,,,,
Filename: p19at02.csv,,,,,,,,,,,,
"Appendix table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and race or ethnicity, December 31, 2019",,,,,,,,,,,,
Report title: Prisoners in 2019  NCJ 255115,,,,,,,,,,,,
"Data Source: Bureau of Justice Statistics, Federal Justice Statistics Program, 2019 (preliminary); and National Prisoner Statistics, 2019",,,,,,,,,,,,
"Author: E. Ann Carson, Ph.D., BJS Statistician",,,,,,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,,,,,
Date of version: 10/22/2020,,,,,,,,,,,,
,,,,,,,,,,,,
"Appendix table 2. Prisoners under the jurisdiction of state or federal correctional authorities, by jurisdiction and race or ethnicity, December 31, 2019",,,,,,,,,,,,
State/federal,,Total,White/a,Black/a,Hispanic,American Indian/Alaska Native/a,Asian/a,Native Hawaiian/Other Pacific Islander/a,Two or more races/a,Other/a,Unknown,Did not report
"Federal/b,c",,"175,116","50,862","64,079","54,070","3,731","2,374",/,~,0,0,0
State,,,,,,,,,,,,
,Alabama,"28,304","13,454","14,631",0,2,4,0,0,0,213,0
,Alaska,"4,475","1,863",454,123,"1,777",44,182,0,0,32,0
,Arizona,"42,441","16,523","6,233","16,385","2,366",194,~,1,739,0,0
,Arkansas,"17,759","9,767","7,282",568,48,61,10,0,17,6,0
,California,"122,687","25,510","35,056","54,115","1,389","1,356",367,~,"4,894",~,0
,Colorado,"19,785","9,026","3,507","6,251",749,249,0,/,/,3,0
,Connecticut,"12,823","3,803","5,457","3,449",39,73,0,0,0,2,0
,Delaware,"5,692","1,932","3,436",313,0,7,0,0,~,4,0
,Florida,"96,009","38,335","45,121","12,124",90,19,8,/,306,6,0
,Georgia,"54,816","19,795","32,656","2,139",28,190,1,/,0,7,0
,Hawaii,"5,279","1,198",323,120,22,892,"2,318",182,0,224,0
,Idaho,"9,437","7,076",287,"1,445",361,45,0,~,~,223,0
,Illinois,"38,259","12,223","20,851","4,872",57,140,/,71,/,45,0
,Indiana,"27,180","16,878","8,852","1,118",66,66,14,141,0,45,0
,Iowa,"9,282","6,047","2,355",616,172,69,0,0,0,23,0
,Kansas,"10,177","5,854","2,755","1,253",218,90,0,0,0,7,0
,Kentucky,"23,082","17,542","4,877",309,18,~,~,~,42,294,0
,Louisiana,"31,609","10,436","21,061",66,19,27,0,0,~,0,0
,Maine,"2,185","1,779",231,0,59,13,3,28,~,72,0
,Maryland/d,"18,595","4,310","13,197",748,93,50,14,/,150,23,10
,Massachusetts,"8,205","3,462","2,306","2,172",44,120,1,0,100,0,0
,Michigan/d,"38,053","17,224","20,040",/,427,110,25,0,0,227,0
,Minnesota,"9,982","4,675","3,586",560,887,263,/,/,/,11,0
,Mississippi,"19,417","7,133","12,025",177,31,47,0,0,0,4,0
,Missouri,"26,044","16,286","9,027",549,87,59,0,~,/,36,0
,Montana,"4,723","3,359",131,117,"1,094",~,~,~,22,0,0
,Nebraska,"5,682","2,943","1,559",824,265,47,4,/,37,3,0
,Nevada,"12,840","5,537","3,990","2,719",218,374,~,~,0,2,0
